size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
100788224,3.99,21292,26,7.0,4.5,0,0,38,5,10,1
158578688,0.0,161065,26,7.0,3.5,0,4,37,5,23,1
100524032,0.0,188583,2822,6.0,4.5,0,4,37,5,3,1
128512000,0.0,262241,649,7.0,4.5,2,4,37,5,9,1
92774400,0.0,985920,5320,8.0,5.0,0,4,37,5,45,1
10485713,0.99,8253,5516,7.0,4.0,0,0,47,5,1,1
227795968,0.0,119487,879,7.0,4.5,0,4,37,0,19,1
130242560,0.0,1126879,3594,7.0,4.5,2,4,37,4,1,1
49250304,9.99,1117,4,8.0,5.0,0,4,37,5,1,1
70023168,3.99,7885,40,7.0,4.0,0,0,38,0,10,1
49618944,4.99,76720,4017,8.0,4.5,0,0,38,4,11,1
227547136,7.99,105776,166,6.0,2.5,0,0,37,0,6,1
179979264,0.0,479440,203,6.0,4.0,3,4,37,4,33,1
160925696,0.0,119773,2336,6.0,4.5,0,4,37,0,2,1
55153664,4.99,6340,668,8.0,4.5,0,0,38,5,2,1
207907840,0.0,56194,87,7.0,3.5,0,4,37,1,26,1
389879808,0.0,2974676,212,6.0,3.5,0,4,37,1,29,1
167407616,0.0,223885,3726,7.0,4.5,2,4,37,5,18,1
147093504,0.0,402925,136,7.0,4.5,2,4,37,3,16,1
10735026,2.99,31456,4178,7.0,3.5,0,0,47,0,1,1
70707916,1.99,2929,966,8.0,4.5,0,4,43,0,2,1
6169600,2.99,11447,781,9.0,5.0,0,0,40,5,1,1
130583552,0.0,137951,131,7.0,4.5,0,4,37,2,6,1
71203840,5.99,8,0,8.0,0.0,0,4,37,5,3,1
11423008,3.99,3241,297,7.0,4.0,0,4,43,2,10,1
188017664,0.0,5795,12,6.0,4.0,0,4,37,5,11,1
4765696,0.0,42316,248,5.0,3.5,1,0,38,0,1,1
287933440,0.0,123215,25,6.0,5.0,0,4,37,5,23,1
4263936,4.99,782,7,7.0,3.5,0,4,43,1,1,1
172772352,9.99,3449,23,7.0,4.5,0,4,37,5,1,1
273844224,0.0,71856,62,6.0,4.5,0,4,37,2,23,1
40216576,1.99,13350,489,8.0,5.0,2,4,38,0,15,1
2386944,0.99,137,0,5.0,0.0,0,1,37,1,1,1
105431040,0.0,180087,1101,6.0,4.5,2,0,37,5,5,1
44129280,0.99,33426,299,7.0,5.0,0,4,37,5,3,1
116443136,0.0,293228,110,7.0,3.0,2,4,37,5,2,1
1646592,1.99,21609,69,6.0,2.5,1,1,40,0,1,1
30016512,4.99,4684,10,7.0,4.0,0,4,37,4,9,1
29518848,2.99,2104,0,8.0,0.0,3,4,37,0,1,1
66872320,2.99,41633,6,7.0,3.0,1,0,37,0,1,1
45229056,2.99,3610,7,8.0,5.0,0,3,37,5,1,1
127470592,0.0,4677,12,5.0,4.0,2,4,37,5,21,1
44241920,3.99,30,0,6.0,0.0,0,4,37,0,2,0
107983872,0.0,48905,2691,8.0,4.5,0,4,37,4,12,1
8044544,4.99,32,0,5.0,0.0,0,4,38,5,7,1
37214208,0.0,446185,1359,6.0,3.5,0,4,43,5,30,1
60320768,1.99,21825,10,5.0,4.0,1,1,37,5,1,1
100849664,0.0,508808,99,5.0,4.5,0,0,38,5,10,1
72748032,0.0,57500,103,5.0,4.0,0,4,37,0,1,0
32164864,1.99,2576,4,7.0,5.0,0,0,38,5,1,1
69079040,1.99,1572,34,7.0,4.5,0,4,37,0,13,1
82037760,2.99,3292,2,5.0,5.0,0,4,37,2,2,1
